Provider_ID,Provider_Name,Hospital_Name,Hospital_Type,Provider_Specialty,State,Years_in_Practice,Provider_Rating,Total_Beds,Accreditation_Status,Is_High_Risk
P001,Mr. Kevin Schultz DDS,"Golden, Smith and Macias",Government,Cardiology,FL,31,2.6,621,Accredited,1
P002,Kristi Webb,Thornton and Sons,Government,Pediatrics,FL,17,3.1,437,Lapsed,0
P003,Thomas Calderon,"Bradley, Boyle and Vargas",Non-Profit,Oncology,GA,10,4.4,134,Lapsed,1
P004,Dr. Louis Brooks,Gray-Brown,Private,Cardiology,OH,23,3.7,636,Accredited,1
P005,Tammy Barnes,Holden and Sons,Private,Cardiology,IL,21,3.9,215,Accredited,0
P006,Joseph Ware,Arroyo Ltd,Private,General Practice,FL,25,1.8,520,Accredited,1
P007,Ruth Duffy,Shaw LLC,Government,General Practice,FL,13,3.2,645,Accredited,0
P008,Tanya Berry,Hansen-Kirk,Government,Neurology,NY,13,3.8,512,Lapsed,0
P009,Geoffrey Bryant,"Wise, Ballard and Jones",Clinic,Neurology,FL,26,1.9,94,Accredited,1
P010,Rodney Marquez,"Johnson, Taylor and Potter",Government,Neurology,PA,38,1.7,432,Accredited,0
P011,Earl Potts,Kennedy-Griffin,Government,General Practice,OH,26,4.9,395,Lapsed,0
P012,Joseph Delgado,"Ramsey, Lynch and Mckenzie",Government,Neurology,IL,5,3.1,439,Pending Review,0
P013,Michelle Jordan,Myers and Sons,Private,Cardiology,CA,24,2.0,748,Pending Review,0
P014,Jaime Cook,Willis-Hall,Private,General Practice,IL,4,5.0,296,Accredited,0
P015,Michelle Burton,Wilson-Hunter,Government,Neurology,OH,26,4.9,780,Accredited,1
P016,Anna Shaw,Rice Ltd,Private,Cardiology,PA,32,3.2,695,Lapsed,1
P017,Kimberly Murray,Bean-Mcdonald,Clinic,Neurology,OH,40,4.5,413,Accredited,0
P018,Megan Walsh,Lewis-Boyd,Private,Orthopedics,NY,4,1.8,476,Accredited,0
P019,Terri Webb,Rodriguez and Sons,Clinic,Neurology,CA,23,2.1,211,Accredited,0
P020,Ian Clark,Stuart-Edwards,Non-Profit,Orthopedics,IL,35,3.8,758,Lapsed,0
P021,Linda Torres,Daniels Group,Government,Neurology,TX,14,4.4,708,Accredited,0
P022,Brandon Clements,"Morales, Smith and Knox",Private,Pediatrics,IL,24,4.4,118,Lapsed,1
P023,Rhonda Petersen,Mason-Ford,Clinic,Pediatrics,NY,27,2.6,567,Accredited,0
P024,Susan Zimmerman,"Hurst, Jackson and Peterson",Non-Profit,Oncology,CA,29,4.6,115,Accredited,0
P025,Donald Walsh,"Hunter, Adams and Phillips",Non-Profit,Pediatrics,PA,30,4.4,683,Lapsed,0
P026,Colton Ray,"Matthews, Torres and Fisher",Private,Pediatrics,OH,18,4.7,682,Pending Review,0
P027,Anthony Zavala,Abbott LLC,Private,Neurology,OH,17,4.1,209,Accredited,0
P028,Nathan Wagner,Davis Ltd,Non-Profit,General Practice,PA,5,3.7,755,Accredited,1
P029,Raymond Weaver,Hamilton PLC,Government,General Practice,CA,39,3.3,56,Lapsed,0
P030,Keith Dodson,Peterson-Miller,Government,Orthopedics,PA,9,2.5,799,Accredited,0
P031,Alexander Smith,"Bird, Brown and Evans",Clinic,General Practice,FL,23,4.8,388,Accredited,0
P032,Elizabeth Montes,Dawson-Webster,Government,Cardiology,IL,11,4.9,714,Pending Review,0
P033,Jason Stevens,"Lawrence, Dillon and Carey",Non-Profit,Oncology,NY,20,2.1,544,Pending Review,0
P034,Jacob Stark,"Davis, Stevens and Miller",Non-Profit,Pediatrics,PA,6,2.2,298,Accredited,1
P035,Brian Roberts,Harris-Singh,Non-Profit,Oncology,NY,27,2.9,236,Pending Review,0
P036,Jennifer Harrison,"Flynn, Burgess and Mitchell",Government,Cardiology,FL,16,2.8,292,Accredited,0
P037,Jodi Dean,"Gomez, Hartman and Green",Clinic,Pediatrics,OH,11,5.0,81,Pending Review,1
P038,Henry Turner,"Richardson, Sanchez and Olsen",Government,Orthopedics,PA,28,1.7,615,Accredited,1
P039,Mandy Williams,Guzman-Alexander,Clinic,Cardiology,CA,4,1.1,748,Pending Review,0
P040,Christine Nichols,Fox-Jones,Government,Cardiology,OH,22,3.0,361,Accredited,1
P041,Charles Liu,"Hill, Patton and Gibson",Non-Profit,Oncology,OH,30,1.7,416,Lapsed,1
P042,Jasmine Garner,"Jones, Cooper and Frost",Non-Profit,Neurology,CA,9,2.5,718,Accredited,1
P043,Claudia Lee,Webb Group,Private,Oncology,IL,10,4.0,38,Lapsed,1
P044,Brittany Munoz,Gonzalez Group,Government,Oncology,IL,37,3.9,196,Lapsed,0
